data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR
20170309;0,1156;4,0864;3,0655;0,5261;3,0247;2,8188;2,8756;4,3146;1,3894;4,0252;4,9656;0,152;3,5583;0,1596;0,5804;3,7502;0,4777;0,4519;0,5808;0,9497;2,2061;1,0857;1,1054;0,6161;0,0811;0,2068;0,3084;1,292;0,9161;0,0694;3,0525;6,1135;0,3522;0,5913;5,5047
20170310;0,1151;4,0761;3,0675;0,5248;3,0218;2,82;2,8754;4,326;1,3867;4,0281;4,9621;0,1519;3,5337;0,1601;0,5819;3,7601;0,4744;0,4523;0,5823;0,9509;2,2119;1,0875;1,1088;0,6125;0,0811;0,2059;0,3071;1,2765;0,9156;0,069;3,0465;6,1158;0,3524;0,5892;5,5209
20170313;0,1154;4,0747;3,0879;0,5248;3,0288;2,8268;2,8838;4,346;1,3913;4,0449;4,9737;0,1515;3,555;0,1608;0,5847;3,6644;0,4754;0,454;0,5854;0,9549;2,2221;1,0887;1,1127;0,6138;0,081;0,2082;0,3107;1,298;0,9165;0,069;3,0512;6,1602;0,3553;0,5897;5,5216
20170314;0,1152;4,0697;3,0742;0,5237;3,0223;2,8102;2,8747;4,3295;1,3869;4,0366;4,935;0,1513;3,5362;0,1602;0,5824;3,6321;0,4738;0,4556;0,5825;0,9511;2,2136;1,0862;1,1116;0,6104;0,0808;0,2074;0,309;1,2905;0,9145;0,069;3,043;6,1472;0,3541;0,5886;5,4876
20170315;0,1154;4,0646;3,0834;0,5233;3,0214;2,822;2,8779;4,3208;1,3909;4,031;4,961;0,1513;3,547;0,1599;0,5812;3,7104;0,4723;0,4523;0,5819;0,9513;2,2092;1,0892;1,1122;0,6074;0,0807;0,2072;0,3104;1,2846;0,914;0,0689;3,042;6,1938;0,3553;0,5881;5,4819
20170316;0,115;4,03;3,0963;0,519;3,0259;2,8216;2,8711;4,3165;1,3925;4,032;4,9377;0,1493;3,5531;0,1598;0,5806;3,6941;0,4712;0,4541;0,5815;0,9486;2,207;1,0936;1,1093;0,6047;0,0804;0,2102;0,3166;1,2986;0,9083;0,0695;3,0192;6,1559;0,3568;0,5838;5,4844
20170317;0,1145;3,9917;3,0696;0,5142;2,9961;2,7964;2,849;4,3013;1,3897;4,0122;4,9466;0,1483;3,5255;0,1592;0,5786;3,6779;0,4724;0,4539;0,5804;0,9423;2,1992;1,107;1,0999;0,603;0,0796;0,2079;0,3131;1,2792;0,9;0,0691;2,9913;6,089;0,3531;0,578;5,4381
20170320;0,1147;3,9821;3,0739;0,5127;2,9822;2,8003;2,8472;4,2821;1,387;3,9876;4,9415;0,1481;3,5292;0,1584;0,576;3,6756;0,4697;0,4508;0,5781;0,9383;2,1894;1,0957;1,0965;0,6014;0,0795;0,2078;0,3136;1,2877;0,8994;0,0692;2,9904;6,0881;0,3559;0,5765;5,4112
20170321;0,1139;3,9502;3,0522;0,5087;2,9629;2,7861;2,8266;4,2635;1,3815;3,967;4,9201;0,147;3,5086;0,1578;0,5734;3,607;0,4673;0,4494;0,5756;0,9343;2,1799;1,0953;1,0916;0,5985;0,0788;0,2085;0,314;1,2858;0,8927;0,0691;2,9661;6,0574;0,3534;0,5734;5,3837
20170322;0,1146;3,9731;3,044;0,5116;2,9675;2,7927;2,8374;4,2855;1,3884;4,0001;4,9518;0,1474;3,5687;0,1585;0,5762;3,5967;0,4669;0,4503;0,5784;0,939;2,1911;1,096;1,0857;0,603;0,079;0,207;0,3153;1,2867;0,8975;0,0687;2,9811;6,0688;0,3539;0,5769;5,4012
20170323;0,1145;3,9687;3,0264;0,511;2,9742;2,7906;2,8337;4,275;1,3837;3,9922;4,9577;0,1462;3,5759;0,1582;0,5749;3,5684;0,4678;0,45;0,5764;0,9392;2,1858;1,0939;1,0867;0,5999;0,0787;0,2084;0,3153;1,286;0,8961;0,069;2,9786;6,0565;0,3536;0,5763;5,3868
20170324;0,114;3,9481;3,0094;0,5083;2,9563;2,7694;2,8216;4,2658;1,3788;3,9839;4,9327;0,1456;3,5529;0,1579;0,5736;3,5578;0,4655;0,4479;0,5749;0,9365;2,181;1,0924;1,0843;0,5955;0,0786;0,2087;0,3167;1,2574;0,8921;0,0689;2,9626;6,0362;0,3524;0,5736;5,3876
